,trend,signal,last_close,vwap_year,vwap_min,vwap_max,atr,entry_price,stop_loss,take_profit,position_size
ABG.JO,Bullish,,18885.0,17945.956359093,17709.0507085594,16958.656962919562,382.57,,,,0
ADH.JO,Bullish,,3265.0,3185.299505974134,3166.205459312933,2966.5003958414677,53.57,,,,0
AEL.JO,Neutral,,1878.0,2078.3975901601175,1885.4464430629464,1860.5508639642298,54.21,,,,0
AFE.JO,Bearish,,9612.0,9695.987352000784,10521.409681310903,10521.029437894664,303.57,,,,0
AFH.JO,Bearish,,763.0,824.689942426836,689.2477111248511,828.7045288222732,29.36,,,,0
AFT.JO,Neutral,,4060.0,4847.273402896461,3829.1124204476555,4003.539345137063,120.93,,,,0
AGL.JO,Bullish,,65010.0,53279.41287668295,57105.099777822776,56071.41000250927,1513.12,,,,0
AHR.JO,Bearish,Short,1140.0,1162.98324608165,1162.0435455269176,1146.2628917306756,32.14,1140.0,1178.4028917306757,1162.0435455269176,2.603970573396204
AIP.JO,Bullish,,7247.0,6050.920947462245,6693.869547929355,6523.578758780758,71.85,,,,0
ANG.JO,Bullish,,125316.0,77703.6572137753,107902.87864026077,106141.55001244303,4858.79,,,,0
ANH.JO,Bearish,,102776.0,107779.71088014972,108482.85318015362,104922.4316122168,1853.36,,,,0
APN.JO,Bearish,,9720.0,12582.478080755203,10524.313801887838,10420.077188446052,272.65,,,,0
ARI.JO,Bullish,,18400.0,16344.079340440407,18021.394385733543,17872.766396784584,672.64,,,,0
ARL.JO,Bullish,,21149.0,18204.472055792536,19385.043507834398,18713.986359577655,575.14,,,,0
ATT.JO,Bullish,,1487.0,1379.3374465903794,1404.63216305446,1425.2357289958607,39.36,,,,0
AVI.JO,Bullish,Long,9800.0,9398.848272810037,9763.086810389737,9289.568415453507,201.36,9800.0,9561.726810389737,9289.568415453507,0.41968632796483396
BAW.JO,Bullish,,11972.0,11028.130560538302,9204.186227561937,11067.689613900538,244.14,,,,0
BHG.JO,Neutral,,48376.0,45620.93877996493,50352.66588926448,47213.50264878909,1152.86,,,,0
BID.JO,Bearish,,43232.0,45262.721754440325,43997.06038319032,43997.06038319032,904.37,,,,0
BLU.JO,Neutral,,1322.0,1193.1765227587714,1338.1188447061243,1362.097194406003,49.21,,,,0
BOX.JO,Bullish,,6983.0,6730.419039791302,6683.0540488739225,6683.0540488739225,257.57,,,,0
BTI.JO,Neutral,,88560.0,83218.51764561507,95517.89392649395,96683.96373900455,1598.08,,,,0
BTN.JO,Neutral,,819.0,843.0362429235718,835.979992735586,816.6149361400458,16.79,,,,0
BVT.JO,Bearish,,21815.0,23580.771222169205,22622.50876224952,25226.019067474394,516.48,,,,0
BYI.JO,Bearish,,9275.0,9427.05350717561,8906.939076666486,9410.266153503677,209.43,,,,0
CFR.JO,Bullish,,338000.0,327527.08094599145,312595.55243352416,317360.2204164962,7362.27,,,,0
CLS.JO,Neutral,,35353.0,36160.081797147126,36695.52314227366,33878.24041868937,840.43,,,,0
CML.JO,Bullish,,4547.0,4000.603527866309,4194.676540848762,4183.515244192226,85.43,,,,0
COH.JO,Bullish,,1198.0,1059.511301371928,1179.4489945958496,1095.6963844282443,32.14,,,,0
CPI.JO,Neutral,,347687.0,324568.6965394094,352961.8617966383,354839.5481739108,9479.64,,,,0
CSB.JO,Bearish,,14020.0,15611.535368205,14570.38771433439,14593.537894082903,808.24,,,,0
DCP.JO,Bullish,,3294.0,3251.0447752459536,3233.9893384074867,3233.9893384074867,76.5,,,,0
DRD.JO,Bullish,,4957.0,2915.5765367123636,3688.0171220595475,3615.510475930659,245.39,,,,0
DSY.JO,Bearish,Short,20100.0,20300.592166213974,20828.280683097968,20163.417847102435,583.5,20100.0,20746.917847102435,20828.280683097968,0.15457913311234658
DTC.JO,Bullish,,6048.0,5877.334000993687,5931.2333043028575,4883.279129983168,157.14,,,,0
EMI.JO,Bullish,,1282.0,1095.7435613336952,1138.0565190574646,1136.264255431144,46.29,,,,0
EQU.JO,Bullish,,1669.0,1505.7463056819406,1603.6159172276996,1652.7963647212405,38.57,,,,0
EXX.JO,Neutral,,17290.0,16040.573308704408,17902.580511103173,18252.679398923396,516.42,,,,0
FBR.JO,Bearish,,5247.0,5848.098416855233,5859.796613443994,5895.025365704374,191.43,,,,0
FFB.JO,Bullish,,2340.0,2039.1120067928073,1725.614969458348,1725.614969458348,63.79,,,,0
FSR.JO,Bullish,,7964.0,7428.667486638053,7849.6160961628875,7746.709309029126,167.77,,,,0
FTB.JO,Bullish,,572.0,502.00104873041147,555.6832513006169,554.8265795213127,11.43,,,,0
GFI.JO,Bullish,,72681.0,44041.50498213388,33549.38177245211,53872.95970678993,2893.86,,,,0
GLN.JO,Bullish,,8032.0,7140.442791722958,7218.964220032786,7222.595280630649,180.64,,,,0
GND.JO,Bullish,,1538.0,1281.2708603941169,1327.1873060794633,1546.6171177451909,38.28,,,,0
GRT.JO,Bullish,,1500.0,1318.4468413797745,1477.6260350259026,1208.520702485003,27.36,,,,0
HAR.JO,Bullish,,31654.0,24667.642818071363,27120.20102500007,19084.663954751122,1704.21,,,,0
